arena.map	22.82842712474619	23	22.82842712474619	23	22.82842712474619	23	22.82842712474619	23	22.82842712474619	25	22.82842712474619	23	22.82842712474619	23	22.82842712474619	119	
brc000d.map	691.7127701597097	555	493.78888860545794	556	356.90663761154883	556	291.2081528017136	556	410.60512242138395	270	783.2102448427685	556	392.4629867976529	248	155.79898987322338	1786	
brc100d.map	173.20815280171314	155	144.16652224137053	155	144.16652224137036	155	144.16652224137042	155	431.22748878547077	498	144.16652224137033	155	144.75230867899722	125	138.36753236814704	1033	
brc200d.map	13382.440902482345	6567	8576.620125646472	6855	7243.716446627654	6614	5001.886794013451	6444	247.90663761154846	492	8372.862766333576	6388	370.0609665440997	658	516.0782104868031	10339	
brc201d.map	70427.25753127017	13457	40510.704735417756	14694	33257.81130635169	14415	23203.98266896589	13581	25747.055828818935	11934	29832.32775808132	13716	5321.476764533218	6338	372.4213562373101	6676	
brc502d.map	111.2670273047587	113	83.39696961966992	113	83.39696961966992	113	83.39696961966992	113	83.39696961966993	70	83.39696961966996	113	83.39696961966993	67	78.4264068711928	949	
brc503d.map	81.97056274847711	78	81.97056274847711	78	81.97056274847711	78	81.97056274847711	78	81.97056274847711	81	81.97056274847711	78	81.97056274847711	78	81.97056274847711	553	
brc505d.map	278.81832585698015	312	278.8183258569802	312	219.3208511739217	312	278.81832585698015	312	468.055915910217	206	219.3208511739214	318	307.989898732234	159	151.12489168102786	1580	
brc997d.map	111.53910524340087	171	90.56854249492373	171	76.8406204335659	171	76.8406204335659	171	79.32590180780447	133	109.2253967444161	171	79.32590180780447	89	76.01219330881972	610	
brc999d.map	58.8406204335659	47	58.8406204335659	47	58.8406204335659	47	58.8406204335659	47	58.8406204335659	52	58.8406204335659	47	58.8406204335659	47	59.42640687119284	413	
combat.map	63.41421356237309	64	63.41421356237309	64	63.41421356237309	64	63.41421356237309	64	126.65685424949237	127	63.41421356237309	64	63.41421356237309	64	63.41421356237309	257	
combat2.map	45.55634918610402	42	45.55634918610402	42	45.55634918610402	42	45.55634918610402	42	46.970562748477114	81	45.55634918610402	42	45.55634918610402	42	45.55634918610404	217	
den001d.map	29.041630560342625	105	29.041630560342625	105	0.0	105	0.0	105	29.041630560342625	111	29.041630560342625	104	29.041630560342625	111	40.79898987322333	285	
den005d.map	489.77164466275514	812	340.91883092036875	812	250.6223663640865	812	255.66399692442909	812	282.99494936611705	650	257.00714267493674	811	190.05382386916241	594	119.42640687119277	1327	
den009d.map	26.97056274847715	23	26.97056274847715	23	26.97056274847715	23	26.97056274847715	23	26.97056274847715	25	26.97056274847715	23	26.97056274847715	23	26.970562748477146	298	
den011d.map	4454.102089490048	2302	2384.856131272695	2181	1818.9007204258935	2089	1197.7859300126302	2052	3557.9953083035257	2562	2503.7139956489586	2082	1471.6214998123137	1628	110.28427124746186	1239	
den012d.map	39.04163056034261	36	39.04163056034261	36	39.04163056034261	36	39.04163056034261	36	39.04163056034261	46	39.04163056034261	36	39.04163056034261	33	38.213203435596434	518	
den020d.map	65.48528137423857	64	65.48528137423857	64	65.48528137423857	64	65.48528137423857	64	130.79898987322332	67	65.48528137423857	64	65.48528137423857	64	65.48528137423857	430	
den101d.map	43.11269837220808	115	24.970562748477146	110	24.970562748477146	110	24.970562748477146	110	24.72792206135786	73	24.970562748477146	110	24.72792206135786	82	23.556349186104054	178	
den201d.map	25.556349186104054	36	25.556349186104054	36	25.556349186104054	36	25.556349186104054	36	25.556349186104054	30	25.556349186104054	36	25.556349186104054	22	24.72792206135786	291	
den202d.map	14.071067811865477	22	14.071067811865477	22	14.071067811865477	22	14.071067811865477	22	14.071067811865477	13	14.071067811865477	22	14.071067811865477	13	13.242640687119286	66	
den203d.map	84.22539674441612	149	35.04163056034262	140	35.04163056034262	140	35.04163056034262	140	36.213203435596434	73	35.041630560342625	140	36.213203435596434	68	36.21320343559643	283	
den204d.map	25.242640687119287	27	25.242640687119287	27	25.242640687119287	27	25.242640687119287	27	25.242640687119287	27	25.242640687119287	27	25.242640687119287	26	25.242640687119287	68	
den206d.map	66.76955262170044	241	54.28427124746189	237	49.28427124746189	237	42.04163056034261	237	30.55634918610405	79	42.04163056034261	237	30.55634918610405	72	30.55634918610405	422	
den207d.map	36.2842712474619	43	36.2842712474619	43	36.2842712474619	43	36.2842712474619	43	36.87005768508881	47	36.2842712474619	43	36.87005768508881	36	33.798989873223334	160	
den308d.map	104.95331880577395	185	97.71067811865467	185	89.63961030678921	185	89.63961030678922	185	277.575685169861	309	210.90663761154843	185	163.13708498984772	290	85.63961030678921	665	
den312d.map	34.21320343559643	86	24.313708498984763	86	24.313708498984763	86	24.313708498984763	86	128.78174593052015	174	24.313708498984763	86	25.142135623730955	82	22.656854249492383	132	
den403d.map	24.55634918610405	25	24.55634918610405	25	24.55634918610405	25	24.55634918610405	25	24.55634918610405	24	24.55634918610405	25	24.55634918610405	21	24.55634918610405	85	
den404d.map	5.0	6	5.0	6	5.0	6	5.0	6	5.0	6	5.0	6	5.0	6	5.0	10	
den405d.map	9.071067811865476	8	9.071067811865476	8	9.071067811865476	8	9.071067811865476	8	9.071067811865476	8	9.071067811865476	8	9.071067811865476	8	9.071067811865476	32	
den407d.map	18.55634918610405	15	18.55634918610405	15	18.55634918610405	15	18.55634918610405	15	18.55634918610405	19	18.55634918610405	15	18.55634918610405	15	18.55634918610405	146	
den408d.map	23.82842712474619	24	23.82842712474619	24	23.82842712474619	24	23.82842712474619	24	23.82842712474619	26	23.82842712474619	24	23.82842712474619	24	23.82842712474619	214	
